creditor_id,loan_type,date,due_date,interest,interest_type,tenure,days_past_due
774c2636-fb1e-438f-b692-1077d858f039,Financing Company,2015-07-04,2019-07-04,17.71,Fixed Interest Rates,1461,0
774c2636-fb1e-438f-b692-1077d858f039,Conventional Commercial Bank,2014-10-26,2019-10-26,15.0,Floating Interest Rates,1826,0
774c2636-fb1e-438f-b692-1077d858f039,Financing Company,2016-08-11,2020-07-11,15.72,Fixed Interest Rates,1430,22
774c2636-fb1e-438f-b692-1077d858f039,Conventional Commercial Bank,2016-03-11,2019-07-04,9.45,Fixed Interest Rates,1210,0
774c2636-fb1e-438f-b692-1077d858f039,Conventional Commercial Bank,2015-05-28,2020-05-26,24.0,Fixed Interest Rates,1825,0
bdb8fecd-d539-4b69-ba6f-3143e671bad9,Financing Company,2017-10-20,2019-09-16,38.0,Fixed Interest Rates,696,0
bdb8fecd-d539-4b69-ba6f-3143e671bad9,Conventional Commercial Bank,2013-07-07,2016-07-07,4.82,Fixed Interest Rates,1096,0
a690a85b-e234-418c-a128-baac2493d682,Conventional Commercial Bank,2013-02-25,2013-12-25,29.08,Fixed Interest Rates,303,150
a690a85b-e234-418c-a128-baac2493d682,Financing Company,2013-02-25,2013-06-25,21.12,Fixed Interest Rates,120,1775
a690a85b-e234-418c-a128-baac2493d682,Conventional Commercial Bank,2013-02-25,2013-12-25,29.08,Fixed Interest Rates,303,150
1add86d4-f953-40d5-a7da-63d0aeb77130,Conventional Commercial Bank,2018-10-29,2021-10-26,6.0,Floating Interest Rates,1093,0
f89a6d1d-e319-41e2-b891-5361c719acdd,Conventional Commercial Bank,2018-07-14,2021-07-14,11.04,Fixed Interest Rates,1096,0
f89a6d1d-e319-41e2-b891-5361c719acdd,Conventional Commercial Bank,2018-01-14,2019-01-14,6.0,Floating Interest Rates,365,0
f89a6d1d-e319-41e2-b891-5361c719acdd,Conventional Commercial Bank,2016-10-10,2018-10-10,6.0,Floating Interest Rates,730,0
09f81bd9-5c9b-4c74-b5b9-1895b9161823,Conventional Commercial Bank,2018-07-30,2020-07-30,19.0,Floating Interest Rates,731,0
09f81bd9-5c9b-4c74-b5b9-1895b9161823,Conventional Commercial Bank,2017-05-20,2020-05-20,22.0,Floating Interest Rates,1096,0
09f81bd9-5c9b-4c74-b5b9-1895b9161823,Conventional Commercial Bank,2014-05-04,2017-05-04,14.4,Fixed Interest Rates,1096,0
9c7e55c5-b058-442e-a5f2-aab286428d50,Conventional Commercial Bank,2017-03-31,2020-03-31,19.75,Floating Interest Rates,1096,0
9c7e55c5-b058-442e-a5f2-aab286428d50,Conventional Commercial Bank,2014-11-30,2017-11-30,11.4,Fixed Interest Rates,1096,0
9c7e55c5-b058-442e-a5f2-aab286428d50,Conventional Commercial Bank,2014-11-30,2017-11-30,11.4,Fixed Interest Rates,1096,0
5c98b383-0639-41fd-af46-124ae3df2e07,Conventional Commercial Bank,2018-03-23,2019-03-23,6.0,Floating Interest Rates,365,0
62649d43-378e-4c57-a7c7-86a6bcf87562,Conventional Commercial Bank,2017-11-05,2020-11-05,6.0,Floating Interest Rates,1096,0
75427c98-c45a-4f54-a22b-b75a8857f96e,Conventional Commercial Bank,2018-05-14,2023-05-14,19.75,Floating Interest Rates,1826,0
75427c98-c45a-4f54-a22b-b75a8857f96e,Conventional Commercial Bank,2015-09-18,2017-09-18,3.73,Fixed Interest Rates,731,0
75427c98-c45a-4f54-a22b-b75a8857f96e,Conventional Commercial Bank,2013-07-14,2015-07-14,4.82,Fixed Interest Rates,730,49
c9c0b520-9a2c-4dc7-8b74-d2f36586d87d,Conventional Commercial Bank,2015-01-25,2030-01-25,5.23,Margin,5479,129
927dd1b9-54d2-42d2-b63b-0a29a3a42edb,Conventional Commercial Bank,2018-07-29,2019-07-29,6.0,Floating Interest Rates,365,0
927dd1b9-54d2-42d2-b63b-0a29a3a42edb,Conventional Commercial Bank,2017-07-15,2018-07-15,3.19,Fixed Interest Rates,365,0
927dd1b9-54d2-42d2-b63b-0a29a3a42edb,Conventional Commercial Bank,2016-08-12,2017-08-12,3.19,Fixed Interest Rates,365,0
927dd1b9-54d2-42d2-b63b-0a29a3a42edb,Conventional Commercial Bank,2015-05-25,2016-05-25,3.71,Fixed Interest Rates,366,0
2a00b180-2348-4b67-bcec-1a39be30ca7e,Conventional Commercial Bank,2017-09-24,2020-09-24,21.99,Floating Interest Rates,1096,0
2a00b180-2348-4b67-bcec-1a39be30ca7e,Conventional Commercial Bank,2015-08-28,2019-03-28,15.0,Fixed Interest Rates,1308,0
afe2d0c9-af73-43d4-a0aa-7a8aa9929530,Conventional Commercial Bank,2017-08-20,2020-08-20,6.0,Floating Interest Rates,1096,0
afe2d0c9-af73-43d4-a0aa-7a8aa9929530,Conventional Commercial Bank,2016-08-26,2018-08-26,6.0,Floating Interest Rates,730,0
3b11717b-6c2c-4017-9b98-87083333dfbe,Conventional Commercial Bank,2017-03-30,2018-04-25,9.0,Floating Interest Rates,391,7
afe2d0c9-af73-43d4-a0aa-7a8aa9929530,Conventional Commercial Bank,2018-08-27,2022-08-27,6.0,Floating Interest Rates,1461,0
afe2d0c9-af73-43d4-a0aa-7a8aa9929530,Conventional Commercial Bank,2018-03-16,2021-03-16,6.0,Floating Interest Rates,1096,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2018-04-28,2018-10-28,14.4,Fixed Interest Rates,183,5
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2017-10-06,2018-04-06,14.4,Fixed Interest Rates,182,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2017-03-18,2017-09-18,14.4,Fixed Interest Rates,184,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2016-09-01,2017-03-01,14.4,Fixed Interest Rates,181,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2016-02-06,2016-08-06,14.4,Fixed Interest Rates,182,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2015-07-20,2016-01-20,14.4,Fixed Interest Rates,184,0
fc290df7-ae01-4d55-89fb-7aa074dc026b,Conventional Commercial Bank,2005-05-21,2005-11-21,24.0,Fixed Interest Rates,184,3510
c1088e8d-047e-4c93-a731-f03dd54e8ec8,Conventional Commercial Bank,2017-11-19,2018-11-19,6.0,Floating Interest Rates,365,0
c1088e8d-047e-4c93-a731-f03dd54e8ec8,Conventional Commercial Bank,2016-11-06,2017-11-06,3.19,Fixed Interest Rates,365,0
c1088e8d-047e-4c93-a731-f03dd54e8ec8,Conventional Commercial Bank,2016-04-18,2016-10-18,3.47,Fixed Interest Rates,183,0
1add86d4-f953-40d5-a7da-63d0aeb77130,Conventional Commercial Bank,2018-01-27,2023-02-01,21.0,Fixed Interest Rates,1831,0
809327ec-85f5-460c-8c99-3f005a9ef5c2,Conventional Commercial Bank,2018-02-26,2018-05-06,0.0,Floating Interest Rates,69,0
809327ec-85f5-460c-8c99-3f005a9ef5c2,Financing Company,2017-12-25,2018-03-26,0.36,Fixed Interest Rates,91,0
809327ec-85f5-460c-8c99-3f005a9ef5c2,Financing Company,2017-06-01,2017-06-29,6.0,Fixed Interest Rates,28,0
067e4fee-e714-4ff5-bdf3-38fa16bc6cb8,Conventional Commercial Bank,2016-01-24,2019-07-21,3.17,Fixed Interest Rates,1274,0
067e4fee-e714-4ff5-bdf3-38fa16bc6cb8,Conventional Commercial Bank,2015-01-22,2017-01-22,3.73,Fixed Interest Rates,731,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2015-10-05,2016-04-05,11.4,Fixed Interest Rates,183,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Rural Bank,2017-08-26,2027-08-26,10.8,Floating Interest Rates,3652,36
286764a5-5b39-4813-962f-33f9753bc14b,Financing Company,2018-03-24,2019-03-24,75.8,Fixed Interest Rates,365,0
286764a5-5b39-4813-962f-33f9753bc14b,Financing Company,2017-06-24,2020-05-23,25.3,Fixed Interest Rates,1064,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2018-09-29,2019-03-29,19.5,Floating Interest Rates,181,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2018-04-01,2018-10-01,10.8,Fixed Interest Rates,183,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2017-09-16,2018-03-16,10.8,Fixed Interest Rates,181,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2017-04-28,2017-10-28,11.4,Fixed Interest Rates,183,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2016-10-24,2017-04-24,11.4,Fixed Interest Rates,182,0
286764a5-5b39-4813-962f-33f9753bc14b,Financing Company,2016-02-01,2017-01-01,66.11,Fixed Interest Rates,335,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2016-04-24,2016-10-24,11.4,Fixed Interest Rates,183,0
286764a5-5b39-4813-962f-33f9753bc14b,Conventional Commercial Bank,2015-04-27,2015-10-27,4.04,Fixed Interest Rates,183,0
286764a5-5b39-4813-962f-33f9753bc14b,Financing Company,2018-11-20,2018-12-03,2.95,Fixed Interest Rates,13,0
32138649-14ad-4025-ac28-0aad67da87c5,Conventional Commercial Bank,2016-04-29,2017-04-29,3.19,Fixed Interest Rates,365,0
32138649-14ad-4025-ac28-0aad67da87c5,Conventional Commercial Bank,2015-04-25,2016-04-25,3.71,Fixed Interest Rates,366,0
35870ecb-f427-4f92-9640-e0b7baca1c23,Financing Company,2018-08-26,2023-08-26,6.1,Fixed Interest Rates,1826,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Financing Company,2015-10-13,2018-09-13,29.05,Fixed Interest Rates,1066,0
900eae41-a9b3-4895-b7fa-5f3708a684b9,Conventional Commercial Bank,2016-05-01,2018-05-01,13.0,Floating Interest Rates,730,216
900eae41-a9b3-4895-b7fa-5f3708a684b9,Financing Company,2016-03-25,2018-03-25,23.14,Fixed Interest Rates,730,129
900eae41-a9b3-4895-b7fa-5f3708a684b9,Conventional Commercial Bank,2016-05-01,2018-05-01,13.0,Fixed Interest Rates,730,63
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2017-04-17,2017-10-17,30.0,Fixed Interest Rates,183,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Financing Company,2018-01-16,2020-01-16,43.96,Fixed Interest Rates,730,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2018-04-12,2018-10-12,27.0,Fixed Interest Rates,183,19
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Commercial Bank,2017-06-30,2021-06-30,22.0,Floating Interest Rates,1461,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2017-10-10,2018-04-10,27.0,Fixed Interest Rates,182,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2017-10-12,2022-06-12,22.0,Floating Interest Rates,1704,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2017-01-23,2017-02-23,18.0,Fixed Interest Rates,31,6
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2016-10-23,2017-01-23,27.0,Fixed Interest Rates,92,9
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2016-07-23,2016-10-23,27.0,Fixed Interest Rates,92,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2015-08-04,2016-02-04,27.0,Fixed Interest Rates,184,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2015-02-05,2015-08-05,27.0,Fixed Interest Rates,181,0
94051ef5-a1f0-4754-a813-e418ba639b7e,Conventional Rural Bank,2016-03-12,2016-09-12,27.0,Fixed Interest Rates,184,0
152d58f4-9da0-4990-bad6-be4818618b5e,Financing Company,2018-10-28,2020-10-28,34.27,Fixed Interest Rates,731,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2018-10-28,2020-10-28,15.0,Fixed Interest Rates,731,0
152d58f4-9da0-4990-bad6-be4818618b5e,Financing Company,2017-01-29,2019-02-03,37.11,Fixed Interest Rates,735,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2017-02-01,2019-02-03,17.5,Fixed Interest Rates,732,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2016-04-25,2019-04-25,15.0,Fixed Interest Rates,1095,0
152d58f4-9da0-4990-bad6-be4818618b5e,Financing Company,2014-06-10,2017-05-05,25.77,Fixed Interest Rates,1060,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2016-06-05,2016-12-03,6.0,Floating Interest Rates,181,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2015-11-15,2016-05-14,7.0,Floating Interest Rates,181,0
152d58f4-9da0-4990-bad6-be4818618b5e,Conventional Commercial Bank,2015-05-03,2015-11-02,7.0,Floating Interest Rates,183,0
d29d6a89-e047-4e07-b2d6-97ba73fd68d8,Conventional Commercial Bank,2017-09-29,2018-09-29,3.19,Fixed Interest Rates,365,0
d29d6a89-e047-4e07-b2d6-97ba73fd68d8,Conventional Commercial Bank,2016-09-30,2017-09-30,3.19,Fixed Interest Rates,365,0
d29d6a89-e047-4e07-b2d6-97ba73fd68d8,Conventional Commercial Bank,2015-09-06,2016-09-06,3.71,Fixed Interest Rates,366,0
d29d6a89-e047-4e07-b2d6-97ba73fd68d8,Conventional Commercial Bank,2014-12-22,2015-12-22,15.0,Fixed Interest Rates,365,0
4870dcac-79bb-414b-93a4-e356d62b06ca,Conventional Commercial Bank,2018-03-31,2021-03-31,6.0,Floating Interest Rates,1096,0
581ceea7-1ff3-4fe1-9de8-b2de29bc58ef,Conventional Commercial Bank,2017-12-22,2023-01-01,21.0,Fixed Interest Rates,1836,0
581ceea7-1ff3-4fe1-9de8-b2de29bc58ef,Conventional Commercial Bank,2018-03-25,2021-03-25,3.13,Fixed Interest Rates,1096,0
581ceea7-1ff3-4fe1-9de8-b2de29bc58ef,Conventional Commercial Bank,2016-07-30,2019-07-30,3.13,Fixed Interest Rates,1095,0
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2018-05-18,2023-05-13,18.38,Fixed Interest Rates,1821,0
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2017-09-07,2019-09-07,50.03,Fixed Interest Rates,730,26
e53fecf1-1006-4ae3-a112-e86329b5ed59,Conventional Commercial Bank,2018-03-12,2019-03-12,6.0,Floating Interest Rates,365,0
e53fecf1-1006-4ae3-a112-e86329b5ed59,Conventional Commercial Bank,2016-11-19,2017-11-19,3.19,Fixed Interest Rates,365,0
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2016-02-15,2018-02-15,49.99,Fixed Interest Rates,731,18
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2015-02-09,2017-02-09,46.56,Fixed Interest Rates,731,23
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2013-06-24,2016-05-24,35.09,Fixed Interest Rates,1065,9
e53fecf1-1006-4ae3-a112-e86329b5ed59,Conventional Commercial Bank,2014-10-06,2016-05-24,8.9,Fixed Interest Rates,596,9
e53fecf1-1006-4ae3-a112-e86329b5ed59,Financing Company,2013-09-30,2015-08-30,37.13,Fixed Interest Rates,699,33
e53fecf1-1006-4ae3-a112-e86329b5ed59,Conventional Commercial Bank,2013-09-30,2015-08-30,13.08,Fixed Interest Rates,699,33
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-09-14,2018-10-07,2.95,Fixed Interest Rates,23,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-08-26,2018-10-07,2.95,Fixed Interest Rates,42,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-09-15,2018-10-07,2.95,Fixed Interest Rates,22,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-07-31,2018-09-07,2.95,Fixed Interest Rates,38,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-08-08,2018-09-07,2.95,Fixed Interest Rates,30,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-08-22,2018-09-07,2.95,Fixed Interest Rates,16,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2017-11-13,2017-12-07,2.94,Fixed Interest Rates,24,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-08-05,2018-09-07,2.95,Fixed Interest Rates,33,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-08-25,2018-09-07,2.95,Fixed Interest Rates,13,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-07-29,2018-09-07,2.95,Fixed Interest Rates,40,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-06-27,2018-08-07,2.95,Fixed Interest Rates,41,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-06-29,2018-08-07,2.95,Fixed Interest Rates,39,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-06-29,2018-08-07,2.95,Fixed Interest Rates,39,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-07-04,2018-08-07,2.95,Fixed Interest Rates,34,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-05-28,2018-07-07,2.95,Fixed Interest Rates,40,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-05-31,2018-07-07,2.95,Fixed Interest Rates,37,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-05-26,2018-07-07,2.95,Fixed Interest Rates,42,0
b15c8c91-78e8-45de-9b1b-eca054394a91,Financing Company,2018-05-31,2018-07-07,2.95,Fixed Interest Rates,37,0
