"loan_id","creditor_id","requested_date","payment_date","due_date","repayment_date","region_id","subdistrict_id","amount","volume","quality","loan_type","date","due_date2","interest","interest_type","tenure","days_past_due"
"6380","54322a82-5179-4c6f-848b-aa3fe9efd727","1/4/2018 22:40","2/4/2018 9:01","4/23/2018 3:06","","6","24","200","15","70.23","Conventional Commercial Bank","12/21/2013","12/21/2016","12","Fixed Interest Rates","1096","0"
"6971","54322a82-5179-4c6f-848b-aa3fe9efd727","8/4/2018 5:22","9/4/2018 8:09","4/28/2018 11:24","","6","107","200","15","75.4","Conventional Commercial Bank","12/21/2013","12/21/2016","12","Fixed Interest Rates","1096","0"
"7311","54322a82-5179-4c6f-848b-aa3fe9efd727","12/4/2018 12:40","3/15/2018 8:36","5/3/2018 10:30","","6","2","500","15","75.06","Conventional Commercial Bank","12/21/2013","12/21/2016","12","Fixed Interest Rates","1096","0"
"7674","54322a82-5179-4c6f-848b-aa3fe9efd727","3/19/2018 1:13","3/19/2018 7:26","9/2/2018 11:46","","6","26","200","16","70.4","Conventional Commercial Bank","12/21/2013","12/21/2016","12","Fixed Interest Rates","1096","0"
"6281","b8b46e20-c6f2-44fc-ac21-0ed7417afe7d","1/4/2018 3:41","2/4/2018 4:02","4/23/2018 2:31","4/21/2019 0:00","6","5","200","13","64","","","","","","",""
"6648","b8b46e20-c6f2-44fc-ac21-0ed7417afe7d","4/4/2018 6:40","7/4/2018 0:34","4/26/2018 7:20","5/18/2018 2:02","6","33","200","12","74.15","","","","","","",""
"7754","b8b46e20-c6f2-44fc-ac21-0ed7417afe7d","3/20/2018 1:00","3/20/2018 4:27","10/3/2018 9:15","5/18/2018 2:02","6","38","200","12","74.7","","","","","","",""
"6282","fbee64d1-dc96-4249-8bc8-85653bc85689","1/4/2018 3:55","1/4/2018 9:04","4/24/2018 9:55","4/13/2018 0:00","2","3","200","12","69.5","","","","","","",""
"6283","9bafcb96-e215-4519-bae8-aa563438161a","1/4/2018 3:58","2/4/2018 9:01","4/23/2018 12:22","11/1/2018 0:00","6","6","200","","","","","","","","",""
"6284","a11b5ae6-da4b-4838-9075-955d52e5f6cd","1/4/2018 4:12","1/4/2018 9:04","4/21/2018 1:20","","6","7","200","12","74","Financing Company","5/18/2018","5/18/2023","19.09","Fixed Interest Rates","1826","0"
"6853","a11b5ae6-da4b-4838-9075-955d52e5f6cd","7/4/2018 5:18","8/4/2018 5:31","4/27/2018 12:37","4/17/2018 5:00","6","105","200","3","73","Financing Company","5/18/2018","5/18/2023","19.09","Fixed Interest Rates","1826","0"
"7677","a11b5ae6-da4b-4838-9075-955d52e5f6cd","3/19/2018 1:47","3/20/2018 4:27","10/3/2018 9:15","5/21/2018 5:13","6","154","200","3","76.1","Financing Company","5/18/2018","5/18/2023","19.09","Fixed Interest Rates","1826","0"
"7741","a11b5ae6-da4b-4838-9075-955d52e5f6cd","3/19/2018 13:59","3/20/2018 4:27","10/3/2018 9:15","3/5/2018 4:15","6","33","200","3","77.7","Financing Company","5/18/2018","5/18/2023","19.09","Fixed Interest Rates","1826","0"
"6285","ed04d02f-9841-4899-900e-6b51c21a6f18","1/4/2018 4:18","2/4/2018 9:01","4/23/2018 3:06","","6","8","200","14","71.8","","","","","","",""
"7064","ed04d02f-9841-4899-900e-6b51c21a6f18","9/4/2018 8:41","10/4/2018 7:23","4/29/2018 12:19","","6","40","200","14","77.13","","","","","","",""
"7529","ed04d02f-9841-4899-900e-6b51c21a6f18","3/17/2018 4:47","3/17/2018 6:31","8/2/2018 6:12","","6","31","200","14","74.475","","","","","","",""
"6406","839f4083-a3a6-4a6d-81db-c79af3691ff6","2/4/2018 1:43","2/4/2018 4:01","4/23/2018 2:31","7/3/2018 4:35","6","18","200","14","71.8","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"6469","839f4083-a3a6-4a6d-81db-c79af3691ff6","2/4/2018 9:32","7/4/2018 0:33","4/26/2018 7:20","7/3/2018 4:52","6","73","200","14","69.9","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"6709","839f4083-a3a6-4a6d-81db-c79af3691ff6","5/4/2018 1:18","8/4/2018 5:35","4/27/2018 12:37","4/13/2018 7:39","6","58","200","","","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7145","839f4083-a3a6-4a6d-81db-c79af3691ff6","10/4/2018 8:33","12/4/2018 3:35","3/5/2018 9:43","4/13/2018 7:50","6","3","200","15","74.235","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7251","839f4083-a3a6-4a6d-81db-c79af3691ff6","11/4/2018 14:44","3/15/2018 8:35","5/3/2018 10:30","4/19/2018 5:17","6","99","200","","","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7496","839f4083-a3a6-4a6d-81db-c79af3691ff6","3/16/2018 15:46","3/18/2018 6:37","8/2/2018 11:43","4/16/2018 5:44","6","4","200","14","74.9","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7551","839f4083-a3a6-4a6d-81db-c79af3691ff6","3/17/2018 8:23","3/18/2018 6:37","8/2/2018 11:43","4/19/2018 5:17","6","49","200","13","72.9","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7604","839f4083-a3a6-4a6d-81db-c79af3691ff6","3/18/2018 3:40","3/19/2018 7:25","9/2/2018 11:46","4/19/2018 5:15","6","0","300","14","71.77","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"7755","839f4083-a3a6-4a6d-81db-c79af3691ff6","3/20/2018 1:47","3/24/2018 6:10","5/12/2018 10:57","4/22/2018 5:49","6","8","200","15","73.3","Conventional Commercial Bank","12/17/2017","1/1/2023","21","Fixed Interest Rates","1841","0"
"6286","148fc8a4-48f0-416c-a3c2-5a6f062d169a","1/4/2018 4:19","1/4/2018 7:45","4/20/2018 10:18","","2","9","200","14","78.5","Conventional Commercial Bank","4/9/2018","4/9/2020","6","Fixed Interest Rates","731","0"
"7066","148fc8a4-48f0-416c-a3c2-5a6f062d169a","9/4/2018 8:45","10/4/2018 8:19","4/29/2018 11:15","","2","24","200","13","80.6","Conventional Commercial Bank","4/9/2018","4/9/2020","6","Fixed Interest Rates","731","0"
"7253","148fc8a4-48f0-416c-a3c2-5a6f062d169a","11/4/2018 14:59","12/4/2018 4:50","5/3/2018 13:05","","2","93","200","12","78","Conventional Commercial Bank","4/9/2018","4/9/2020","6","Fixed Interest Rates","731","0"
"7672","148fc8a4-48f0-416c-a3c2-5a6f062d169a","3/19/2018 0:25","3/19/2018 6:24","9/2/2018 11:36","","2","37","200","14","80.1","Conventional Commercial Bank","4/9/2018","4/9/2020","6","Fixed Interest Rates","731","0"
"6892","450b2c45-ab13-4e1a-97e4-16a499a01fef","7/4/2018 12:07","8/4/2018 5:26","4/27/2018 12:37","4/17/2018 3:56","6","41","200","14","65","Conventional Commercial Bank","7/14/2016","7/14/2017","3.19","Fixed Interest Rates","365","0"
"6893","450b2c45-ab13-4e1a-97e4-16a499a01fef","7/4/2018 12:09","9/4/2018 8:07","4/28/2018 11:24","4/16/2018 2:59","6","24","200","14","58","Conventional Commercial Bank","7/14/2016","7/14/2017","3.19","Fixed Interest Rates","365","0"
"7279","450b2c45-ab13-4e1a-97e4-16a499a01fef","12/4/2018 3:46","3/16/2018 8:16","6/2/2018 10:56","4/15/2018 2:57","6","0","200","14","71.8","Conventional Commercial Bank","7/14/2016","7/14/2017","3.19","Fixed Interest Rates","365","0"
"7291","450b2c45-ab13-4e1a-97e4-16a499a01fef","12/4/2018 6:18","3/16/2018 8:16","6/2/2018 10:56","4/26/2018 3:30","6","33","200","","","Conventional Commercial Bank","7/14/2016","7/14/2017","3.19","Fixed Interest Rates","365","0"
"6287","17065286-bc9c-4a4f-b306-84a48c602ff6","1/4/2018 4:25","2/4/2018 9:01","4/23/2018 8:03","11/1/2018 0:00","6","10","200","","","","","","","","",""
"6328","09e77d10-1118-4a92-9008-98c6bd8b7187","1/4/2018 13:48","2/4/2018 4:02","4/23/2018 8:03","4/13/2018 7:47","6","24","200","","","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"6333","09e77d10-1118-4a92-9008-98c6bd8b7187","1/4/2018 13:51","2/4/2018 4:02","4/23/2018 8:03","4/13/2018 7:46","6","37","200","","","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"7515","09e77d10-1118-4a92-9008-98c6bd8b7187","3/17/2018 0:46","3/17/2018 6:56","8/2/2018 6:12","","6","100","200","12","75.68","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"7575","09e77d10-1118-4a92-9008-98c6bd8b7187","3/17/2018 15:16","3/18/2018 6:37","8/2/2018 11:43","","6","31","200","13","71.3","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"7632","09e77d10-1118-4a92-9008-98c6bd8b7187","3/18/2018 7:14","3/19/2018 7:25","9/2/2018 11:46","","6","3","100","13","75.96","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"7745","09e77d10-1118-4a92-9008-98c6bd8b7187","3/19/2018 16:11","3/20/2018 4:27","10/3/2018 9:15","","6","3","100","13","71.7","Conventional Commercial Bank","10/18/2014","10/18/2015","3.71","Fixed Interest Rates","365","0"
"6288","10e876b5-a4d3-4b1d-a958-18a3606401fa","1/4/2018 4:32","2/4/2018 4:02","4/23/2018 2:31","","6","11","200","14","74.57","Conventional Commercial Bank","5/20/2018","5/20/2021","6","Floating Interest Rates","1096","0"
"7371","10e876b5-a4d3-4b1d-a958-18a3606401fa","3/15/2018 7:42","3/16/2018 8:15","6/2/2018 10:56","","6","38","200","14","75.38","Conventional Commercial Bank","5/20/2018","5/20/2021","6","Floating Interest Rates","1096","0"
"7639","10e876b5-a4d3-4b1d-a958-18a3606401fa","3/18/2018 8:52","3/19/2018 7:24","9/2/2018 11:46","","6","64","200","14","75.11","Conventional Commercial Bank","5/20/2018","5/20/2021","6","Floating Interest Rates","1096","0"
"6289","424ae95e-c413-47b9-b470-9f6e87e90c66","1/4/2018 4:33","1/4/2018 9:04","4/23/2018 2:31","4/15/2018 0:00","6","12","200","","","Conventional Commercial Bank","3/12/2016","3/12/2020","6","Floating Interest Rates","1461","0"
"6290","1eddbe2c-d3f3-40ca-a8ef-d7412a7b0fdf","1/4/2018 4:38","1/4/2018 9:04","4/21/2018 1:20","","6","4","200","14","69.8","","","","","","",""
"6451","1eddbe2c-d3f3-40ca-a8ef-d7412a7b0fdf","2/4/2018 6:06","2/4/2018 9:00","4/23/2018 2:59","","6","3","200","13","76.8","","","","","","",""
"6291","87e28fca-05d1-4e5c-85b7-7764f71af2d5","1/4/2018 4:48","1/4/2018 9:04","4/21/2018 1:20","","6","13","200","12","72.37","Conventional Commercial Bank","12/19/2016","12/19/2017","3.19","Fixed Interest Rates","365","0"
"6562","87e28fca-05d1-4e5c-85b7-7764f71af2d5","3/4/2018 11:09","7/4/2018 0:33","4/26/2018 7:20","4/13/2018 7:49","6","84","200","","","Conventional Commercial Bank","12/19/2016","12/19/2017","3.19","Fixed Interest Rates","365","0"
"7568","87e28fca-05d1-4e5c-85b7-7764f71af2d5","3/17/2018 13:23","3/18/2018 6:36","8/2/2018 11:43","4/19/2018 5:34","6","151","200","","","Conventional Commercial Bank","12/19/2016","12/19/2017","3.19","Fixed Interest Rates","365","0"
"6292","d2ce7010-bf5c-4f99-81bb-35bd36e5b4f8","1/4/2018 4:55","4/4/2018 7:42","4/23/2018 12:22","4/14/2018 0:00","6","14","200","12","70.6","","","","","","",""
"6522","d2ce7010-bf5c-4f99-81bb-35bd36e5b4f8","3/4/2018 3:32","4/4/2018 7:42","4/23/2018 12:22","4/14/2018 0:00","6","28","200","15","64.025","","","","","","",""
"7042","d2ce7010-bf5c-4f99-81bb-35bd36e5b4f8","9/4/2018 3:51","9/4/2018 8:09","4/28/2018 11:24","4/14/2018 0:00","6","38","200","","","","","","","","",""
"6293","045bea94-0be6-45db-8cd9-e6f6c19e018a","1/4/2018 5:02","2/4/2018 4:02","4/23/2018 2:31","9/1/2018 7:59","6","15","200","15","62.5","","","","","","",""
"6294","b9276420-2ed3-4cfe-93d6-60301ddd4acc","1/4/2018 5:06","1/4/2018 9:04","4/21/2018 1:20","","6","16","200","15","67.5","","","","","","",""
"6497","b9276420-2ed3-4cfe-93d6-60301ddd4acc","2/4/2018 15:51","7/4/2018 0:35","4/26/2018 7:20","","6","13","200","17","65.5","","","","","","",""
"6619","b9276420-2ed3-4cfe-93d6-60301ddd4acc","4/4/2018 3:10","4/4/2018 7:43","4/23/2018 12:22","","6","26","200","14","68.83","","","","","","",""
"6739","b9276420-2ed3-4cfe-93d6-60301ddd4acc","5/4/2018 5:31","8/4/2018 5:35","4/27/2018 12:37","4/21/2019 0:00","6","4","200","12","66.9","","","","","","",""
"7065","b9276420-2ed3-4cfe-93d6-60301ddd4acc","9/4/2018 8:45","12/4/2018 3:41","3/5/2018 9:43","4/13/2018 7:36","6","4","200","","","","","","","","",""
"7389","b9276420-2ed3-4cfe-93d6-60301ddd4acc","3/15/2018 11:32","3/16/2018 8:15","6/2/2018 10:56","4/21/2019 0:00","6","140","200","13","72.8","","","","","","",""
"7468","b9276420-2ed3-4cfe-93d6-60301ddd4acc","3/16/2018 11:07","4/1/2018 7:00","5/21/2018 0:38","4/21/2019 0:00","6","4","200","11","72","","","","","","",""
"6931","bcc0e3bd-ee77-43ed-8cf0-8fe411c16554","7/4/2018 22:30","8/4/2018 5:29","4/27/2018 12:37","","6","125","200","13","72.46","Financing Company","2/21/2015","8/21/2015","32.28","Fixed Interest Rates","181","0"
"6295","a594d7d9-f1f1-47fd-a981-8019e8da317f","1/4/2018 5:13","1/4/2018 9:04","4/21/2018 1:20","","6","17","200","11","76.37","Conventional Commercial Bank","9/20/2018","3/20/2019","36","Floating Interest Rates","181","0"
"6400","a594d7d9-f1f1-47fd-a981-8019e8da317f","2/4/2018 1:13","2/4/2018 9:00","4/23/2018 3:03","","6","14","200","14","76.97","Conventional Commercial Bank","9/20/2018","3/20/2019","36","Floating Interest Rates","181","0"
"6593","a594d7d9-f1f1-47fd-a981-8019e8da317f","3/4/2018 23:05","4/4/2018 7:35","4/23/2018 12:22","4/23/2018 5:27","6","17","500","10","73.5","Conventional Commercial Bank","9/20/2018","3/20/2019","36","Floating Interest Rates","181","0"
"7134","a594d7d9-f1f1-47fd-a981-8019e8da317f","10/4/2018 5:38","10/4/2018 7:12","4/29/2018 12:19","4/22/2018 5:52","6","3","200","10","76.9","Conventional Commercial Bank","9/20/2018","3/20/2019","36","Floating Interest Rates","181","0"
"7281","a594d7d9-f1f1-47fd-a981-8019e8da317f","12/4/2018 4:35","3/15/2018 8:35","5/3/2018 10:30","4/22/2018 5:52","6","116","200","14","73.67","Conventional Commercial Bank","9/20/2018","3/20/2019","36","Floating Interest Rates","181","0"
"6296","34ad8e59-d753-4779-bb99-bf39ca5acd11","1/4/2018 5:52","1/4/2018 9:04","4/23/2018 12:22","4/13/2018 7:56","6","18","200","3","70.2","Conventional Commercial Bank","10/15/2018","11/3/2018","15","Fixed Interest Rates","19","0"
"6519","34ad8e59-d753-4779-bb99-bf39ca5acd11","3/4/2018 2:39","4/4/2018 7:43","4/23/2018 12:22","4/21/2018 0:00","6","71","200","","","Conventional Commercial Bank","10/15/2018","11/3/2018","15","Fixed Interest Rates","19","0"
"6297","d32a0003-3d7a-4db7-b42e-c7feab965050","1/4/2018 6:01","2/4/2018 4:02","4/23/2018 2:31","4/13/2018 0:00","6","19","200","","","","","","","","",""
"6534","56b668df-62cd-48ec-b964-9190e8413f48","3/4/2018 7:34","4/4/2018 7:44","4/23/2018 12:01","","2","54","200","13","79.5","Financing Company","6/25/2013","12/25/2015","28.22","Fixed Interest Rates","913","8"
"7176","56b668df-62cd-48ec-b964-9190e8413f48","10/4/2018 22:13","11/4/2018 3:53","2/2/2018 12:04","4/19/2018 0:00","2","37","200","","","Financing Company","6/25/2013","12/25/2015","28.22","Fixed Interest Rates","913","8"
"6298","b8e88037-acd5-41aa-a66f-b554ac54fec5","1/4/2018 6:07","1/4/2018 7:46","4/20/2018 10:18","","2","20","200","14","79","","","","","","",""
"6850","b8e88037-acd5-41aa-a66f-b554ac54fec5","7/4/2018 4:55","7/4/2018 5:10","4/26/2018 7:21","","2","44","200","14","80.5","","","","","","",""
"7063","b8e88037-acd5-41aa-a66f-b554ac54fec5","9/4/2018 8:35","10/4/2018 8:19","4/29/2018 11:15","","2","0","200","13","80","","","","","","",""
"7238","b8e88037-acd5-41aa-a66f-b554ac54fec5","11/4/2018 13:21","12/4/2018 4:25","5/3/2018 13:05","4/16/2018 6:33","2","64","200","13","79.75","","","","","","",""
"7633","b8e88037-acd5-41aa-a66f-b554ac54fec5","3/18/2018 7:24","3/19/2018 6:24","9/2/2018 11:36","","2","3","300","13","80","","","","","","",""
"6299","e7043d12-fb7d-4911-b4e9-5fd2bea3ff6f","1/4/2018 6:41","2/4/2018 4:02","4/24/2018 9:55","","2","10","200","12","69.5","","","","","","",""
"6300","dcfe02e6-f412-4ae0-b0eb-0e74b40550ec","1/4/2018 7:14","2/4/2018 4:02","4/23/2018 2:31","","6","6","200","16","69.1","Conventional Commercial Bank","1/26/2013","1/1/2017","2","Floating Interest Rates","1436","220"
